"","GS.Adjusted"
"657",138.781723
"658",142.738983
"659",143.366531
"660",141.841125
"661",137.06456
"662",139.88002
"663",139.400589
"664",141.492508
"665",142.828979
"666",142.016617
"667",144.078125
"668",144.960388
"669",144.14801
"670",143.623886
"671",144.532379
"672",139.911438
"673",138.487579
"674",141.212967
"675",142.357269
"676",146.069763
"677",148.733963
"678",152.752167
"679",152.603668
"680",155.232941
"681",154.31572
"682",157.119736
"683",158.508621
"684",160.011108
"685",159.321014
"686",162.05513
"687",160.412949
"688",159.906235
"689",156.79657
"690",159.417099
"691",160.360504
"692",161.033142
"693",156.351105
"694",156.892685
"695",162.88501
"696",163.33046
"697",166.387772
"698",164.36998
"699",165.35704
"700",166.099503
"701",163.548813
"702",167.960144
"703",164.771744
"704",161.050568
"705",162.037659
"706",161.565964
"707",156.586884
"708",160.456604
"709",157.547821
"710",156.682999
"711",156.01918
"712",150.384979
"713",155.992905
"714",148.646637
"715",149.092117
"716",149.90448
"717",148.061371
"718",151.468079
"719",150.053009
"720",154.237152
"721",154.184784
"722",157.102295
"723",155.905563
"724",154.403122
"725",154.831161
"726",154.263351
"727",154.52536
"728",150.970184
"729",148.506836
"730",150.245163
"731",149.48526
"732",147.554749
"733",143.396744
"734",148.517731
"735",146.740738
"736",145.891663
"737",143.825714
"738",146.399368
"739",143.431778
"740",141.672256
"741",145.699051
"742",145.952866
"743",145.313873
"744",145.401413
"745",142.460144
"746",144.429733
"747",140.875687
"748",142.85408
"749",144.832428
"750",144.088318
"751",143.239182
"752",143.536865
"753",143.353073
"754",143.668137
"755",145.926636
"756",147.799942
"757",151.511627
"758",154.190262
"759",152.544586
"760",155.529587
"761",152.588318
"762",150.18103
"763",146.907074
"764",148.001312
"765",147.52858
"766",144.622345
"767",146.06665
"768",146.880844
"769",140.823166
"770",134.914291
"771",135.667114
"772",132.078064
"773",132.620789
"774",134.187759
"775",130.18721
"776",134.047653
"777",137.382904
"778",137.636765
"779",131.902954
"780",134.94931
"781",132.27066
"782",133.487457
"783",134.485352
"784",134.852997
"785",134.74794
"786",137.785553
"787",137.663025
"788",136.323669
"789",136.717621
"790",137.18158
"791",137.172791
"792",138.59967
"793",136.945206
"794",137.173325
"795",137.339981
"796",139.2789
"797",138.375229
"798",143.542816
"799",146.674973
"800",149.008713
"801",148.140152
"802",150.851196
"803",152.228561
"804",153.500732
"805",152.246109
"806",154.57988
"807",154.974686
"808",155.685349
"809",156.080109
"810",154.553589
"811",153.386719
"812",153.018188
"813",153.448074
"814",151.667084
"815",152.702362
"816",150.359818
"817",149.701828
"818",149.342102
"819",151.921524
"820",151.693405
"821",154.729095
"822",157.483917
"823",157.150452
"824",156.027512
"825",157.264572
"826",162.239105
"827",161.668808
"828",140.989746
"829",143.288406
"830",140.358109
"831",139.436829
"832",139.542145
"833",138.094528
"834",133.383179
"835",134.269257
"836",137.75238
"837",140.586243
"838",127.390869
"839",131.163467
"840",131.119598
"841",130.014175
"842",124.864128
"843",125.451927
"844",126.188911
"845",124.557037
"846",129.145523
"847",126.908325
"848",125.662506
"849",125.144859
"850",120.512497
"851",122.916428
"852",119.40699
"853",123.372604
"854",119.92469
"855",125.074646
"856",123.091866
"857",127.489594
"858",126.88269
"859",124.771767
"860",127.384048
"861",126.689171
"862",125.114777
"863",121.974861
"864",121.183289
"865",120.321327
"866",117.656326
"867",119.301048
"868",117.366035
"869",120.409279
"870",120.549957
"871",120.778679
"872",121.535072
"873",121.148079
"874",118.553436
"875",118.799721
