DATE,GBP1MTD156N
2017-08-18,0.25138
2017-08-21,0.25131
2017-08-22,0.25131
2017-08-23,0.25131
2017-08-24,0.25131
2017-08-25,0.25163
2017-08-28,.
2017-08-29,0.25013
2017-08-30,0.24988
2017-08-31,0.25019
2017-09-01,0.24888
2017-09-04,0.24888
2017-09-05,0.25044
2017-09-06,0.24888
2017-09-07,0.24919
2017-09-08,0.25169
2017-09-11,0.25106
2017-09-12,0.252
2017-09-13,0.2545
2017-09-14,0.25325
2017-09-15,0.25169
2017-09-18,0.2525
2017-09-19,0.2525
2017-09-20,0.25138
2017-09-21,0.25113
2017-09-22,0.25194
2017-09-25,0.25075
2017-09-26,0.25138
2017-09-27,0.25013
2017-09-28,0.25325
2017-09-29,0.25425
2017-10-02,0.253
2017-10-03,0.25363
2017-10-04,0.264
2017-10-05,0.26675
2017-10-06,0.26675
2017-10-09,0.2755
2017-10-10,0.27825
2017-10-11,0.28325
2017-10-12,0.28738
2017-10-13,0.29238
2017-10-16,0.30044
2017-10-17,0.30325
2017-10-18,0.31036
2017-10-19,0.31363
2017-10-20,0.31304
2017-10-23,0.32781
2017-10-24,0.33263
2017-10-25,0.34764
2017-10-26,0.36176
2017-10-27,0.3705
2017-10-30,0.38838
2017-10-31,0.40363
2017-11-01,0.42216
2017-11-02,0.44325
2017-11-03,0.49625
2017-11-06,0.49625
2017-11-07,0.49375
2017-11-08,0.49375
2017-11-09,0.495
2017-11-10,0.49388
2017-11-13,0.49388
2017-11-14,0.49606
2017-11-15,0.49631
2017-11-16,0.4945
2017-11-17,0.4935
2017-11-20,0.49469
2017-11-21,0.49519
2017-11-22,0.49644
2017-11-23,0.4955
2017-11-24,0.49675
2017-11-27,0.4955
2017-11-28,0.49488
2017-11-29,0.49394
2017-11-30,0.49281
2017-12-01,0.48894
2017-12-04,0.498
2017-12-05,0.49769
2017-12-06,0.497
2017-12-07,0.49763
2017-12-08,0.49775
2017-12-11,0.49244
2017-12-12,0.49369
2017-12-13,0.48994
2017-12-14,0.49244
2017-12-15,0.49119
2017-12-18,0.49244
2017-12-19,0.494
2017-12-20,0.4975
2017-12-21,0.49875
2017-12-22,0.49438
2017-12-25,.
2017-12-26,.
2017-12-27,0.49063
2017-12-28,0.49306
2017-12-29,0.49619
2018-01-01,.
2018-01-02,0.49681
2018-01-03,0.49369
2018-01-04,0.49394
2018-01-05,0.48931
2018-01-08,0.49131
2018-01-09,0.49819
2018-01-10,0.49694
2018-01-11,0.49619
2018-01-12,0.49713
