"","x"
"110",0.00303291142503959
"111",0.025093920849014
"112",-0.0343532725949247
"113",0.001947170584919
"114",0.00344249168123323
"115",0.0109544517965059
"116",-0.0157241556675025
"117",0.00446121465017857
"118",-0.0200318299444193
"119",-0.0257790338340458
"120",-0.0119284187198607
"121",0.0238073712479112
"122",-0.0016883573902815
"123",-0.0101444810410811
"124",0.0111486624373738
"125",0.0242051347957748
"126",-0.0144887632354802
"127",0.0104279620286523
"128",-0.00152143940601945
"129",-0.0282502138725551
"130",-0.00165975601730928
"131",0.0163386259642451
"132",0.00854300429225585
"133",-0.00804378259206029
"134",-0.00454752956171056
"135",-0.0203049818188665
"136",-0.0154685888576855
"137",-0.0275380758770956
"138",-0.00437982602403597
"139",-0.0341807585597822
"140",0.0249695762656064
"141",-0.040379137339551
"142",-0.012739688354805
"143",0.0159122336141593
"144",-0.0385384546980312
"145",0.00349819621591152
"146",-0.00818148840000443
"147",-0.0423880746276533
"148",0.0441468279124493
"149",0.0182571927622108
"150",0.0106619290275569
"151",-0.0588640308454345
"152",-0.00964859311583144
"153",-0.0167601688574655
"154",-0.0446438424766651
"155",-0.0289875732589415
"156",0.0295765367520158
"157",0.0298702439916347
"158",-0.0128826547728993
"159",0.0156217343527771
"160",0.0136403226123347
"161",-0.00219476720025646
"162",0.0124850935928666
"163",-0.00995310741080413
"164",-0.0401314965612141
"165",0.0160737148866916
"166",-0.0135614710071055
"167",0.026657440782496
"168",0.0268506813525953
"169",-0.0166759113311015
"170",0.00767529488267638
"171",-0.00111680269672565
"172",0.0255399029745762
"173",-0.000599280885796638
"174",-0.00530012989848405
"175",0.0320243107382794
"176",0.0111856546246711
"177",-0.015759157573366
"178",0.0664489013608982
"179",0.0246317871896657
"180",-0.00963262468478288
"181",0.0311988597858548
"182",0.00214075394795099
"183",0.00223103604991337
"184",0.0174383730577796
"185",0.0100605776816263
"186",-0.000184508210668177
"187",0.028383561836633
"188",0.0223512985472976
"189",-0.00294265528584781
"190",-0.00617698408203182
"191",0.0112224877542451
"192",-0.00676238899122517
"193",0.0525261881916359
"194",-0.0137224656442427
"195",-0.0298118950004502
"196",0.0196733459622491
"197",-0.0182333936834222
"198",-0.0198610312002829
"199",0.0123329799187868
"200",0.00100999415569714
"201",-0.045615502442784
"202",0.0204157910473679
"203",0.0070861939007445
"204",0.00605954460736857
"205",0.00681754379667776
"206",0.0400416410771909
"207",0.0328964692005433
"208",-0.0143762380130887
"209",0.0310931181953489
"210",-0.0315925355185547
"211",-0.0451748793160043
"212",-0.0500562398800994
"213",0.0216065702039705
"214",-0.0410722706117479
"215",-0.0199949651557558
"216",0.00659911710374939
"217",0.0158674107827972
"218",0.0819217695926877
"219",0.00115795018925891
"220",-0.0273298958558899
"221",-0.00782724045833927
"222",-0.0211318438981891
"223",-0.0139721787050338
"224",-0.037383134523032
"225",0.0327744065828286
"226",-0.0426078136274599
